Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,AST,STL,TOV,PTS,Total Points
Evan Fournier,SG,30,NYK,2.1,6.1,0.337,1.3,4.2,0.307,0.8,1.9,0.404,0.7,0.8,0.857,0.1,1.3,0.6,0.8,6.1,6.088000000000001
De'Aaron Fox,PG,25,SAC,9.3,18.2,0.512,1.6,5.0,0.324,7.7,13.2,0.584,4.7,6.0,0.78,0.5,6.1,1.1,2.5,25.0,23.880000000000003
Markelle Fultz,PG,24,ORL,5.8,11.3,0.514,0.5,1.5,0.31,5.4,9.9,0.544,1.9,2.4,0.783,1.2,5.7,1.5,2.3,14.0,14.696000000000002
Wenyen Gabriel,C,25,LAL,2.3,3.8,0.596,0.1,0.5,0.278,2.1,3.3,0.647,0.8,1.2,0.619,1.7,0.5,0.4,0.7,5.5,6.960999999999999
Daniel Gafford,C,24,WAS,3.7,5.1,0.732,0.0,0.0,,3.7,5.1,0.732,1.6,2.4,0.679,2.1,1.1,0.4,1.1,9.0,10.672999999999998
Darius Garland,PG,23,CLE,7.6,16.4,0.462,2.4,6.0,0.41,5.1,10.4,0.492,4.0,4.7,0.863,0.4,7.8,1.2,2.9,21.6,19.916999999999998
Usman Garuba,C,20,HOU,1.1,2.4,0.486,0.3,0.8,0.407,0.8,1.6,0.525,0.4,0.6,0.617,1.6,0.9,0.6,0.6,3.0,4.788
Luka Garza,C,24,MIN,2.3,4.1,0.543,0.5,1.4,0.359,1.8,2.8,0.636,1.5,1.9,0.788,1.2,0.6,0.1,0.5,6.5,7.556
Rudy Gay,PF,36,UTA,1.9,5.1,0.38,0.6,2.3,0.254,1.4,2.8,0.484,0.8,0.9,0.857,0.6,1.0,0.3,0.7,5.2,5.648
Paul George,SF,32,LAC,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,4.6,5.3,0.871,0.8,5.1,1.5,3.1,23.8,22.903999999999996
Taj Gibson,C,37,WAS,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.6,0.9,0.714,0.7,0.7,0.3,0.5,3.4,4.196
Josh Giddey,PF,20,OKC,7.1,14.7,0.482,1.0,3.1,0.325,6.1,11.6,0.524,1.4,1.9,0.731,1.9,6.2,0.8,2.8,16.6,16.542
Shai Gilgeous-Alexander,PG,24,OKC,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,9.8,10.9,0.905,0.9,5.5,1.6,2.8,31.4,31.182000000000002
Anthony Gill,PF,30,WAS,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.8,1.1,0.731,0.6,0.6,0.1,0.3,3.3,3.7780000000000005
Jacob Gilyard,PG,24,MEM,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,7.0,3.0,2.0,3.0,4.1499999999999995
Rudy Gobert,C,30,MIN,5.1,7.8,0.659,0.0,0.0,0.0,5.1,7.8,0.663,3.1,4.9,0.644,3.3,1.2,0.8,1.7,13.4,16.159
Jordan Goodwin,PG,24,WAS,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.9,1.1,0.768,0.9,2.7,0.9,0.9,6.6,7.561999999999999
Aaron Gordon,PF,27,DEN,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,2.8,4.6,0.608,2.4,3.0,0.8,1.4,16.3,18.442
Eric Gordon,SG,34,TOT,4.2,9.5,0.446,1.9,5.2,0.371,2.3,4.3,0.535,2.1,2.5,0.821,0.2,2.7,0.6,1.5,12.4,11.600999999999999
Devonte' Graham,PG,27,TOT,2.2,5.9,0.374,1.6,4.6,0.352,0.6,1.3,0.452,1.3,1.8,0.748,0.3,2.7,0.6,0.7,7.4,7.5390000000000015
Jerami Grant,PF,28,POR,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,4.4,5.4,0.813,0.8,2.4,0.8,1.8,20.5,20.293999999999997
RaiQuan Gray,PF,23,BRK,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.571,2.0,2.0,1.0,3.0,7.0,0.0,4.0,16.0,14.94
A.J. Green,SG,23,MIL,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.1,0.1,1.0,0.2,0.6,0.2,0.3,4.4,4.720999999999999
Danny Green,SG,35,TOT,2.0,4.5,0.449,1.5,3.4,0.432,0.5,1.1,0.5,0.1,0.1,1.0,0.3,0.5,0.5,0.9,5.5,5.494
Draymond Green,PF,32,GSW,3.4,6.5,0.527,0.5,1.8,0.305,2.9,4.7,0.612,1.1,1.5,0.713,0.9,6.8,1.0,2.8,8.5,7.392
Jalen Green,SG,20,HOU,7.4,17.9,0.416,2.5,7.3,0.338,5.0,10.6,0.471,4.8,6.1,0.786,0.6,3.7,0.8,2.6,22.1,20.938
JaMychal Green,PF,32,GSW,2.4,4.4,0.54,0.7,1.9,0.378,1.6,2.5,0.667,0.9,1.2,0.776,1.3,0.9,0.4,0.9,6.4,7.158999999999999
Javonte Green,SF,29,CHI,1.9,3.4,0.565,0.4,1.1,0.371,1.5,2.3,0.658,0.9,1.4,0.667,0.8,0.7,0.8,0.6,5.2,6.274000000000001
Jeff Green,PF,36,DEN,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4.0,0.58,1.6,2.1,0.744,0.7,1.2,0.3,0.8,7.8,7.9510000000000005
Josh Green,SG,22,DAL,3.4,6.4,0.537,1.1,2.8,0.402,2.3,3.6,0.643,1.1,1.6,0.723,0.9,1.7,0.7,1.2,9.1,9.486999999999998
AJ Griffin,SF,19,ATL,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.6,0.7,0.894,0.5,1.0,0.6,0.6,8.9,9.389999999999999
Blake Griffin,C,33,BOS,1.5,3.2,0.485,0.6,1.6,0.348,1.0,1.6,0.625,0.5,0.8,0.656,1.1,1.5,0.3,0.5,4.1,5.367999999999999
Quentin Grimes,SG,22,NYK,4.0,8.5,0.468,2.2,5.7,0.386,1.8,2.7,0.641,1.1,1.4,0.796,0.7,2.1,0.7,1.0,11.3,11.781
Rui Hachimura,PF,24,TOT,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,1.4,1.9,0.739,0.8,0.9,0.3,0.8,11.2,11.569000000000003
Tyrese Haliburton,PG,22,IND,7.4,15.0,0.49,2.9,7.2,0.4,4.5,7.8,0.572,3.1,3.6,0.871,0.6,10.4,1.6,2.5,20.7,20.473
Jordan Hall,SF,21,SAS,1.0,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.8,1.0,0.778,0.3,1.2,0.1,0.8,3.1,2.649
R.J. Hampton,SG,21,TOT,2.2,5.0,0.43,0.9,2.5,0.353,1.3,2.6,0.504,1.2,1.6,0.75,0.4,1.1,0.6,0.9,6.4,6.627000000000001
Tim Hardaway Jr.,SF,30,DAL,4.8,11.9,0.401,3.0,7.7,0.385,1.8,4.2,0.431,1.8,2.3,0.77,0.3,1.8,0.7,0.8,14.4,14.639
James Harden,PG,33,PHI,6.4,14.5,0.441,2.8,7.2,0.385,3.6,7.3,0.495,5.4,6.2,0.867,0.7,10.7,1.2,3.4,21.0,19.296
Jaden Hardy,SG,20,DAL,3.0,6.9,0.438,1.3,3.3,0.404,1.7,3.7,0.469,1.4,1.6,0.823,0.2,1.4,0.4,1.0,8.8,8.246
Ron Harper Jr.,PF,22,TOR,0.9,1.8,0.5,0.3,1.0,0.333,0.6,0.8,0.714,0.1,0.1,1.0,0.3,0.4,0.0,0.0,2.2,2.554
Montrezl Harrell,C,29,PHI,2.2,3.7,0.598,0.0,0.1,0.0,2.2,3.6,0.616,1.2,1.8,0.693,1.2,0.6,0.3,0.6,5.6,6.670999999999999
Gary Harris,SG,28,ORL,2.9,6.4,0.45,2.0,4.5,0.431,0.9,1.9,0.494,0.6,0.6,0.9,0.4,1.2,0.9,0.6,8.3,9.217
Joe Harris,SF,31,BRK,2.7,5.9,0.457,1.9,4.5,0.426,0.8,1.4,0.551,0.2,0.4,0.643,0.3,1.4,0.5,0.6,7.6,7.738999999999999
Kevon Harris,SG,25,ORL,1.4,3.1,0.439,0.5,1.3,0.372,0.9,1.9,0.484,0.9,1.2,0.756,0.8,0.5,0.5,0.6,4.1,5.029
Tobias Harris,SF,30,PHI,5.7,11.4,0.501,1.7,4.4,0.389,4.0,7.0,0.57,1.5,1.7,0.876,0.9,2.5,0.9,1.2,14.7,15.317
Shaquille Harrison,SG,29,POR,3.0,7.2,0.417,0.6,2.0,0.3,2.4,5.2,0.462,2.2,3.0,0.733,0.2,6.0,2.2,1.2,8.8,10.186
Josh Hart,SF,27,TOT,3.6,6.8,0.529,0.8,2.2,0.372,2.8,4.7,0.601,1.7,2.3,0.75,1.9,3.8,1.2,1.5,9.8,11.597
Isaiah Hartenstein,C,24,NYK,2.1,4.0,0.535,0.1,0.5,0.216,2.0,3.5,0.576,0.6,0.9,0.676,2.5,1.2,0.6,0.8,5.0,7.619999999999999
Udonis Haslem,C,42,MIA,1.4,4.1,0.345,0.4,1.3,0.333,1.0,2.9,0.35,0.6,0.7,0.8,0.6,0.0,0.1,0.1,3.9,4.508
Sam Hauser,SF,25,BOS,2.3,5.0,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.2,0.2,0.706,0.4,0.9,0.4,0.4,6.4,7.072000000000001
Jaxson Hayes,C,22,NOP,1.8,3.3,0.551,0.1,0.6,0.103,1.8,2.7,0.654,1.2,1.8,0.699,0.8,0.7,0.4,0.7,5.0,5.699000000000001
Killian Hayes,PG,21,DET,4.0,10.7,0.377,1.1,3.8,0.28,3.0,7.0,0.429,1.2,1.5,0.821,0.4,6.2,1.4,2.3,10.3,9.937
Gordon Hayward,SF,32,CHO,5.5,11.6,0.475,1.0,3.2,0.325,4.5,8.4,0.532,2.6,3.2,0.811,0.7,4.1,0.8,2.0,14.7,14.046
Juancho Hernangómez,PF,27,TOR,1.1,2.7,0.421,0.4,1.6,0.254,0.7,1.1,0.66,0.2,0.4,0.563,0.6,0.6,0.4,0.4,2.9,3.508
Willy Hernangómez,C,28,NOP,2.3,4.4,0.527,0.1,0.3,0.273,2.3,4.2,0.544,2.1,2.7,0.779,1.5,0.9,0.4,1.0,6.9,8.08
Tyler Herro,SG,23,MIA,7.3,16.6,0.439,3.0,8.0,0.378,4.2,8.5,0.497,2.5,2.7,0.934,0.4,4.2,0.8,2.4,20.1,18.532000000000004
Buddy Hield,SF,30,IND,5.9,13.0,0.458,3.6,8.5,0.425,2.3,4.5,0.518,1.3,1.6,0.822,0.8,2.8,1.2,1.7,16.8,17.069
Haywood Highsmith,PF,26,MIA,1.7,4.0,0.431,0.7,2.0,0.339,1.0,2.0,0.523,0.2,0.5,0.464,1.1,0.8,0.7,0.8,4.4,5.483
George Hill,PG-SG,36,TOT,1.7,3.6,0.47,0.7,2.1,0.358,1.0,1.5,0.62,0.9,1.2,0.764,0.3,2.4,0.6,0.7,5.0,5.239000000000001
Malcolm Hill,SF,27,CHI,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0
Aaron Holiday,PG,26,ATL,1.5,3.5,0.418,0.6,1.4,0.409,0.9,2.1,0.424,0.4,0.5,0.844,0.4,1.4,0.6,0.6,3.9,4.4719999999999995
Jrue Holiday,PG,32,MIL,7.3,15.3,0.479,2.4,6.1,0.384,5.0,9.1,0.542,2.3,2.6,0.859,1.2,7.4,1.2,2.9,19.3,18.961
Justin Holiday,SF,33,TOT,1.7,4.4,0.377,1.0,3.1,0.322,0.7,1.3,0.508,0.1,0.2,0.625,0.1,0.9,0.4,0.5,4.5,4.503
Richaun Holmes,C,29,SAC,1.3,2.1,0.618,0.1,0.2,0.625,1.2,1.9,0.617,0.4,0.5,0.789,0.7,0.2,0.1,0.3,3.1,3.6960000000000006
Al Horford,C,36,BOS,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.2,0.3,0.714,1.2,3.0,0.5,0.6,9.8,11.001
Talen Horton-Tucker,SG,22,UTA,4.0,9.4,0.419,0.9,3.1,0.286,3.1,6.3,0.485,1.9,2.6,0.75,0.6,3.8,0.6,1.9,10.7,10.013000000000002
Danuel House Jr.,SF,29,PHI,1.7,3.5,0.472,0.7,2.0,0.336,1.0,1.6,0.644,0.8,1.1,0.75,0.2,0.8,0.3,0.5,4.8,4.905999999999999
Caleb Houstan,SF,20,ORL,1.3,3.6,0.363,0.9,2.7,0.338,0.4,0.9,0.435,0.3,0.4,0.833,0.7,0.6,0.2,0.4,3.8,4.396
Trevor Hudgins,PG,23,HOU,0.4,1.8,0.222,0.4,1.6,0.25,0.0,0.2,0.0,0.6,0.6,1.0,0.0,0.6,0.0,0.2,1.8,1.5700000000000003
Kevin Huerter,SG,24,SAC,5.6,11.5,0.485,2.7,6.8,0.402,2.9,4.7,0.604,1.3,1.7,0.725,0.6,2.9,1.1,1.3,15.2,15.678000000000003
Jay Huff,C,24,WAS,2.1,3.6,0.6,0.9,1.7,0.5,1.3,1.9,0.692,2.1,2.3,0.938,0.9,1.4,0.4,0.7,7.3,8.117
De'Andre Hunter,SF,25,ATL,5.7,12.3,0.461,1.5,4.3,0.35,4.2,8.0,0.521,2.6,3.1,0.826,0.7,1.4,0.5,1.2,15.4,15.521
Bones Hyland,PG,22,TOT,4.1,10.2,0.399,2.1,5.6,0.371,2.0,4.6,0.434,1.5,1.8,0.843,0.4,3.1,0.7,1.5,11.8,11.352
Serge Ibaka,C,33,MIL,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.5,0.8,0.615,0.9,0.3,0.1,0.7,4.1,4.6720000000000015
Andre Iguodala,PF,39,GSW,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.3,0.4,0.667,0.4,2.4,0.5,1.1,2.1,1.982
Joe Ingles,SF,35,MIL,2.3,5.4,0.435,1.8,4.4,0.409,0.5,1.0,0.556,0.4,0.5,0.857,0.3,3.3,0.7,1.2,6.9,6.579000000000001
Brandon Ingram,SF,25,NOP,9.0,18.6,0.484,1.4,3.6,0.39,7.6,14.9,0.507,5.3,6.0,0.882,0.5,5.8,0.7,3.3,24.7,22.3
Kyrie Irving,PG-SG,30,TOT,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,4.1,4.6,0.905,1.0,5.5,1.1,2.1,27.1,27.03
Jonathan Isaac,PF,25,ORL,2.0,4.8,0.415,0.5,1.4,0.4,1.5,3.5,0.421,0.5,0.8,0.556,1.4,0.5,1.3,0.4,5.0,7.687
Jaden Ivey,SG,20,DET,5.5,13.3,0.416,1.6,4.7,0.343,3.9,8.6,0.457,3.6,4.8,0.747,1.0,5.2,0.8,3.2,16.3,14.620000000000005
Frank Jackson,PG,24,UTA,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.18
Isaiah Jackson,C,21,IND,2.8,5.0,0.563,0.0,0.2,0.143,2.8,4.8,0.582,1.5,2.3,0.651,1.8,0.8,0.5,0.8,7.2,8.879
Jaren Jackson Jr.,C,23,MEM,6.6,13.0,0.506,1.6,4.5,0.355,5.0,8.6,0.585,3.8,4.9,0.788,1.7,1.0,1.0,1.7,18.6,19.801000000000002
Justin Jackson,SF,27,BOS,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0.0,0.1,0.5,0.1,0.4,0.2,0.1,0.9,1.0330000000000001
Quenton Jackson,PG,24,WAS,2.1,4.7,0.452,0.1,1.3,0.083,2.0,3.3,0.6,1.9,2.4,0.773,0.2,1.7,0.4,0.4,6.2,6.435999999999999
Reggie Jackson,PG,32,TOT,3.9,9.4,0.411,1.4,4.2,0.333,2.5,5.2,0.474,1.0,1.1,0.91,0.4,3.4,0.7,1.7,10.2,9.521999999999998
LeBron James,PF,38,LAL,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,4.6,5.9,0.768,1.2,6.8,0.9,3.2,28.9,27.771
Ty Jerome,SG,25,GSW,2.6,5.4,0.488,0.8,2.0,0.389,1.8,3.4,0.546,0.8,0.9,0.927,0.2,3.0,0.5,0.7,6.9,6.806
Isaiah Joe,SG,23,OKC,3.1,7.0,0.441,2.2,5.4,0.409,0.9,1.6,0.553,1.1,1.4,0.82,0.4,1.2,0.7,0.5,9.5,10.202
Alize Johnson,PF,26,SAS,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.3,0.5,0.5,0.5,0.3,0.3,1.0,1.8,1.685
Cameron Johnson,PF,26,TOT,5.3,11.3,0.47,2.5,6.1,0.404,2.9,5.2,0.548,2.4,2.9,0.842,0.8,1.9,1.2,0.9,15.5,16.989
Jalen Johnson,SF,21,ATL,2.3,4.6,0.491,0.4,1.5,0.288,1.8,3.1,0.587,0.7,1.1,0.628,0.7,1.2,0.5,0.6,5.6,6.211
James Johnson,PF,35,IND,1.2,2.7,0.449,0.2,0.8,0.2,1.1,1.9,0.559,0.2,0.4,0.5,0.2,0.8,0.4,0.4,2.8,3.2360000000000007
Keldon Johnson,SF,23,SAS,8.0,17.7,0.452,2.1,6.5,0.329,5.9,11.2,0.523,3.9,5.2,0.749,0.9,2.9,0.7,2.1,22.0,21.452
Keon Johnson,SG,20,POR,1.7,4.5,0.376,0.7,2.0,0.346,1.0,2.4,0.402,0.7,1.0,0.659,0.3,1.5,0.5,1.1,4.7,4.464
Stanley Johnson,SF,26,SAS,2.2,4.1,0.533,0.6,1.3,0.45,1.6,2.7,0.573,0.9,1.3,0.667,0.7,2.2,0.5,1.1,5.8,6.0360000000000005
Nikola Jokić,C,27,DEN,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,4.9,6.0,0.822,2.4,9.8,1.3,3.6,24.5,24.487
Carlik Jones,PG,25,CHI,0.9,2.1,0.4,0.4,0.9,0.5,0.4,1.3,0.333,0.7,1.1,0.625,0.1,0.9,0.3,0.3,2.9,2.8180000000000005
Damian Jones,C,27,TOT,1.3,2.1,0.64,0.2,0.4,0.588,1.1,1.7,0.652,0.5,0.7,0.759,1.0,0.4,0.2,0.6,3.5,4.020000000000001
Derrick Jones Jr.,PF,25,CHI,1.8,3.6,0.5,0.4,1.3,0.338,1.4,2.3,0.587,1.0,1.3,0.738,0.9,0.5,0.5,0.4,5.0,6.1770000000000005
Herbert Jones,PF,24,NOP,3.6,7.6,0.469,0.8,2.5,0.335,2.7,5.1,0.536,1.9,2.4,0.764,1.5,2.5,1.6,1.3,9.8,11.815000000000001
Kai Jones,C,22,CHO,1.5,2.6,0.558,0.1,0.4,0.211,1.4,2.2,0.624,0.4,0.6,0.731,0.8,0.3,0.4,0.7,3.4,4.098999999999999
Tre Jones,PG,23,SAS,5.0,10.9,0.459,0.7,2.3,0.285,4.4,8.6,0.506,2.2,2.5,0.86,0.8,6.6,1.3,1.6,12.9,13.699
Tyus Jones,PG,26,MEM,3.9,8.9,0.438,1.5,4.1,0.371,2.4,4.8,0.495,1.0,1.3,0.8,0.4,5.2,1.0,0.9,10.3,10.887
DeAndre Jordan,C,34,DEN,2.3,2.9,0.765,0.0,0.0,1.0,2.2,2.9,0.763,0.6,1.2,0.458,1.3,0.9,0.3,1.2,5.1,5.499
Cory Joseph,PG,31,DET,2.4,5.7,0.427,1.1,2.9,0.389,1.3,2.8,0.468,0.9,1.2,0.792,0.3,3.5,0.5,0.9,6.9,6.694000000000001
Nikola Jović,PF,19,MIA,1.9,4.6,0.406,0.5,2.3,0.229,1.3,2.3,0.588,1.2,1.3,0.947,0.6,0.7,0.5,0.7,5.5,5.7780000000000005
Johnny Juzang,SG,21,UTA,1.9,5.8,0.337,0.8,3.5,0.238,1.1,2.3,0.488,0.1,0.2,0.5,0.4,0.4,0.2,0.2,4.8,5.172000000000001
Mfiondu Kabengele,PF,25,BOS,0.5,1.8,0.286,0.0,0.8,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.3,0.0,0.5,0.3,1.5,3.2640000000000002
Frank Kaminsky,C,29,TOT,0.9,1.8,0.492,0.4,0.9,0.394,0.5,0.8,0.6,0.4,0.4,0.875,0.2,0.9,0.2,0.3,2.5,2.721
Trevor Keels,SG,19,NYK,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.8999999999999999
Luke Kennard,SG,26,TOT,3.2,6.5,0.492,2.3,4.6,0.494,0.9,1.9,0.487,0.6,0.7,0.949,0.3,1.5,0.5,0.8,9.3,9.308999999999997
Walker Kessler,C,21,UTA,4.0,5.6,0.72,0.0,0.0,0.333,4.0,5.6,0.723,1.1,2.1,0.516,3.1,0.9,0.4,0.8,9.2,12.298
Braxton Key,SF,25,DET,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,0.7,0.7,1.0,0.0,0.0,0.0,0.0,1.3,1.2999999999999998
Louis King,PF,23,PHI,8.0,13.0,0.615,4.0,8.0,0.5,4.0,5.0,0.8,0.0,1.0,0.0,2.0,2.0,1.0,2.0,20.0,21.209999999999997
Corey Kispert,SF,23,WAS,3.9,7.9,0.497,2.2,5.2,0.424,1.7,2.7,0.637,1.0,1.2,0.852,0.4,1.2,0.4,0.7,11.1,11.126999999999999
Maxi Kleber,PF,31,DAL,2.1,4.6,0.456,1.1,3.0,0.348,1.0,1.5,0.667,0.7,1.0,0.711,0.8,1.4,0.3,0.7,5.9,6.484000000000001
Nathan Knight,C,25,MIN,1.2,2.1,0.568,0.2,0.6,0.364,1.0,1.6,0.644,1.0,1.5,0.684,0.6,0.3,0.3,0.6,3.7,3.9629999999999996
Kevin Knox,SF-PF,23,TOT,2.4,5.3,0.458,1.0,3.0,0.349,1.4,2.3,0.596,0.7,1.0,0.767,0.5,0.5,0.4,0.8,6.6,6.63
Christian Koloko,C,22,TOR,1.2,2.6,0.48,0.0,0.2,0.083,1.2,2.4,0.514,0.6,1.0,0.627,1.4,0.5,0.4,0.3,3.1,4.767
John Konchar,SF,26,MEM,1.9,4.4,0.431,0.8,2.5,0.339,1.1,2.0,0.545,0.4,0.5,0.778,0.9,1.4,1.1,0.5,5.1,6.752000000000001
Furkan Korkmaz,SG,25,PHI,1.3,3.0,0.432,0.5,1.2,0.391,0.8,1.8,0.462,0.7,1.0,0.722,0.2,0.6,0.3,0.6,3.8,3.6909999999999994
Luke Kornet,C,27,BOS,1.6,2.5,0.665,0.0,0.2,0.231,1.6,2.3,0.701,0.5,0.6,0.821,1.2,0.8,0.2,0.4,3.8,4.886
Vit Krejci,PG,22,ATL,0.5,1.3,0.405,0.2,0.7,0.238,0.3,0.6,0.625,0.0,0.1,0.5,0.2,0.6,0.2,0.2,1.2,1.4360000000000002
Jonathan Kuminga,PF,20,GSW,3.9,7.4,0.525,0.8,2.2,0.37,3.1,5.2,0.59,1.3,2.1,0.652,1.0,1.9,0.6,1.4,9.9,10.160000000000002
Kyle Kuzma,PF,27,WAS,8.0,17.8,0.448,2.5,7.5,0.333,5.5,10.3,0.533,2.7,3.7,0.73,0.9,3.7,0.6,3.0,21.2,19.502000000000002
Anthony Lamb,SF,25,GSW,2.4,5.1,0.471,1.2,3.2,0.367,1.2,1.9,0.652,0.7,1.0,0.767,0.9,1.5,0.5,0.9,6.7,7.302
Jock Landale,C,27,PHO,2.6,4.9,0.528,0.3,1.2,0.25,2.3,3.7,0.621,1.1,1.5,0.752,1.7,1.0,0.2,0.9,6.6,7.801
Romeo Langford,SG,23,SAS,2.8,6.0,0.467,0.4,1.4,0.262,2.4,4.6,0.53,0.9,1.3,0.696,1.3,1.2,0.6,0.7,6.9,8.319
Jake LaRavia,PF,21,MEM,1.1,2.7,0.389,0.7,2.0,0.338,0.4,0.7,0.542,0.2,0.3,0.778,0.5,0.6,0.3,0.5,3.0,3.459999999999999
Zach LaVine,SG,27,CHI,8.7,18.0,0.485,2.6,7.1,0.375,6.1,11.0,0.556,4.7,5.6,0.848,0.5,4.2,0.9,2.5,24.8,23.45
A.J. Lawson,SG,22,TOT,1.5,2.9,0.5,0.7,1.7,0.4,0.8,1.3,0.632,0.1,0.5,0.25,0.4,0.1,0.1,0.2,3.7,4.157
Damion Lee,SG,30,PHO,2.7,6.1,0.442,1.5,3.3,0.445,1.2,2.8,0.439,1.3,1.4,0.904,0.5,1.3,0.4,1.1,8.2,7.985
Saben Lee,PG,23,TOT,2.0,4.8,0.405,0.4,1.2,0.367,1.5,3.6,0.418,1.7,2.3,0.737,0.5,2.7,0.8,1.0,6.0,6.26
Alex Len,C,29,SAC,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.4,0.6,0.688,0.9,0.5,0.2,0.6,1.7,2.202
Kawhi Leonard,SF,31,LAC,8.6,16.8,0.512,2.0,4.8,0.416,6.6,11.9,0.551,4.7,5.4,0.871,1.1,3.9,1.4,1.7,23.8,24.853
Meyers Leonard,C,30,MIL,1.6,3.2,0.483,0.8,2.0,0.389,0.8,1.2,0.636,0.9,1.0,0.889,1.3,0.1,0.2,0.7,4.8,5.859
Caris LeVert,SG,28,CLE,4.3,10.0,0.431,1.7,4.4,0.392,2.6,5.6,0.462,1.8,2.4,0.722,0.7,3.9,1.0,1.6,12.1,12.236000000000002
Kira Lewis Jr.,PG,21,NOP,1.6,3.5,0.455,0.6,1.4,0.441,1.0,2.2,0.463,0.8,0.9,0.864,0.2,0.9,0.4,0.4,4.6,4.835999999999999
Damian Lillard,PG,32,POR,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,8.8,9.6,0.914,0.8,7.3,0.9,3.3,32.2,30.384000000000004
Nassir Little,SF,22,POR,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.6,0.9,0.717,0.5,0.9,0.4,0.7,6.6,6.944999999999999
Isaiah Livers,PF,24,DET,2.3,5.5,0.417,1.4,3.9,0.365,0.9,1.6,0.541,0.6,0.8,0.821,0.5,0.8,0.5,0.6,6.7,7.074999999999999
Kenneth Lofton Jr.,PF,20,MEM,2.0,3.9,0.527,0.3,0.7,0.353,1.8,3.2,0.566,0.7,1.1,0.593,0.8,0.8,0.2,0.5,5.0,5.799
Kevon Looney,C,26,GSW,3.0,4.7,0.63,0.0,0.0,0.0,3.0,4.7,0.632,1.1,1.9,0.606,3.3,2.5,0.6,0.5,7.0,11.109
Brook Lopez,C,34,MIL,6.1,11.5,0.531,1.7,4.7,0.374,4.4,6.9,0.637,1.9,2.4,0.784,2.0,1.3,0.5,1.4,15.9,17.125
Robin Lopez,C,34,CLE,1.3,2.0,0.64,0.1,0.1,0.5,1.2,1.9,0.648,0.4,0.5,0.778,0.6,0.5,0.1,0.7,3.0,3.1180000000000003
Kevin Love,PF,34,TOT,2.7,6.8,0.389,1.6,4.8,0.334,1.1,2.1,0.516,1.3,1.5,0.879,1.0,1.9,0.3,1.1,8.2,8.56
Kyle Lowry,PG,36,MIA,3.6,8.8,0.404,1.9,5.6,0.345,1.6,3.2,0.509,2.1,2.5,0.859,0.8,5.1,1.0,1.9,11.2,10.908999999999999
Trey Lyles,PF,27,SAC,2.5,5.5,0.458,1.2,3.2,0.363,1.4,2.3,0.595,1.4,1.7,0.815,0.9,0.9,0.4,0.9,7.6,8.286999999999999
Théo Maledon,PG,21,CHO,2.3,5.8,0.402,0.6,2.2,0.295,1.7,3.6,0.465,1.4,1.7,0.851,0.3,3.5,0.8,1.3,6.7,6.379
Sandro Mamukelashvili,C,23,TOT,2.3,5.3,0.422,0.7,2.3,0.303,1.6,3.0,0.511,0.9,1.3,0.684,1.6,1.4,0.3,0.8,6.1,7.513000000000002
