Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,AST,STL,TOV,PTS,Total Points
Lamar Stevens,SF,25,CLE,2.1,4.6,0.448,0.5,1.5,0.316,1.6,3.1,0.513,0.6,0.9,0.702,0.8,0.5,0.4,0.4,5.3,6.244
Isaiah Stewart,C,21,DET,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,2.2,3.0,0.738,2.3,1.4,0.4,1.4,11.3,12.864
Max Strus,SF,26,MIA,4.1,9.9,0.41,2.5,7.0,0.35,1.6,2.8,0.559,1.0,1.1,0.876,0.6,2.1,0.5,0.9,11.5,11.947999999999999
Jalen Suggs,SG,21,ORL,3.5,8.4,0.419,1.2,3.8,0.327,2.3,4.6,0.496,1.6,2.2,0.723,1.0,2.9,1.3,1.8,9.9,10.404999999999998
Edmond Sumner,SG,27,BRK,2.3,5.1,0.461,0.6,1.6,0.356,1.8,3.4,0.511,1.9,2.0,0.917,0.2,1.3,0.6,0.9,7.1,7.191000000000001
Cole Swider,SF,23,LAL,0.4,1.3,0.333,0.4,1.1,0.375,0.0,0.1,0.0,0.0,0.0,,0.1,0.6,0.0,0.0,1.3,1.318
Jae'Sean Tate,SF,27,HOU,3.5,7.4,0.48,0.4,1.5,0.283,3.1,5.9,0.53,1.6,2.2,0.725,1.3,2.7,0.7,1.5,9.1,9.614
Jayson Tatum,SF,24,BOS,9.8,21.1,0.466,3.2,9.3,0.35,6.6,11.8,0.558,7.2,8.4,0.854,1.1,4.6,1.1,2.9,30.1,29.228
Terry Taylor,PF,23,TOT,1.3,2.4,0.52,0.2,0.6,0.263,1.1,1.8,0.607,0.2,0.4,0.545,0.9,0.3,0.1,0.3,2.9,3.8320000000000007
Garrett Temple,SG,36,NOP,0.7,1.8,0.4,0.4,1.0,0.423,0.3,0.8,0.368,0.1,0.2,0.75,0.2,0.5,0.4,0.2,2.0,2.366
Dalen Terry,SG,20,CHI,0.8,1.9,0.444,0.2,0.7,0.259,0.7,1.2,0.556,0.4,0.6,0.667,0.3,0.6,0.3,0.2,2.2,2.869
Daniel Theis,C,30,IND,3.0,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.7,1.7,0.417,1.0,1.3,0.3,0.4,7.0,8.065000000000001
Cam Thomas,SG,21,BRK,3.5,8.0,0.441,0.9,2.3,0.383,2.6,5.7,0.464,2.6,3.1,0.868,0.1,1.4,0.4,1.1,10.6,9.812999999999999
Klay Thompson,SF,32,GSW,7.9,18.1,0.436,4.4,10.6,0.412,3.6,7.6,0.47,1.7,1.9,0.879,0.6,2.4,0.7,1.8,21.9,21.543
JT Thor,PF,20,CHO,1.4,3.4,0.399,0.6,1.8,0.317,0.8,1.7,0.487,0.5,0.7,0.702,0.5,0.5,0.3,0.6,3.8,4.145
Matisse Thybulle,SF-SG,25,TOT,1.5,3.6,0.435,0.8,2.1,0.365,0.8,1.5,0.533,0.3,0.4,0.679,0.6,0.7,1.2,0.3,4.1,6.043
Xavier Tillman Sr.,C,24,MEM,3.1,5.0,0.614,0.1,0.2,0.267,3.0,4.8,0.632,0.8,1.5,0.551,2.0,1.6,1.0,0.7,7.0,9.805
Isaiah Todd,PF,21,WAS,0.5,3.2,0.158,0.2,1.7,0.1,0.3,1.5,0.222,0.3,0.3,1.0,0.3,0.7,0.2,0.3,1.5,1.739
Obi Toppin,PF,24,NYK,2.8,6.3,0.446,1.3,3.7,0.344,1.5,2.6,0.593,0.6,0.7,0.809,0.4,1.0,0.3,0.6,7.4,7.627000000000001
Juan Toscano-Anderson,SF,29,TOT,1.2,2.8,0.448,0.2,0.8,0.186,1.1,1.9,0.56,0.4,0.5,0.792,0.5,1.3,0.3,0.7,3.0,3.33
Karl-Anthony Towns,PF,27,MIN,7.3,14.8,0.495,2.1,5.7,0.366,5.2,9.1,0.576,4.1,4.7,0.874,1.7,4.8,0.7,3.0,20.8,20.161000000000005
Gary Trent Jr.,SG,24,TOR,6.1,14.2,0.433,2.5,6.8,0.369,3.6,7.3,0.493,2.6,3.1,0.839,0.5,1.6,1.6,0.8,17.4,18.810000000000002
P.J. Tucker,PF,37,PHI,1.3,3.0,0.427,0.7,1.9,0.393,0.5,1.1,0.482,0.3,0.3,0.826,1.3,0.8,0.5,0.6,3.5,4.818999999999999
